,actvalue,builtvalue,commvalue,entvalue,offvalue,othervalue,socialvalue,travelvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-04-02 22:00:00,0.07803819444444444,7.3383398058252425,24.41589473684211,,,19.83377777777778,56.740857142857145,,,1.0,-0.4,0.6,47.45313235591442,,7.4
2014-04-03 22:00:00,0.13365815412186374,6.015095541401274,27.323392857142856,,,17.20114285714286,58.31414285714285,53.2335,,1.0,1.0,0.2,30.17539130086484,1.0,7.0
2014-04-04 22:00:00,0.06600140056022409,16.58351948051948,40.911210526315784,,,15.4926,57.279210526315794,,,1.0,-0.2,0.6,53.74237862605493,1.0,7.4
2014-04-05 22:00:00,0.08229166666666667,8.900500000000001,35.81590243902439,,44.843,12.6852,72.07675,58.035000000000004,19.125,1.0,-1.0,0.2,53.631999982914444,1.0,7.0
2014-04-06 22:00:00,0.08090277777777778,6.762695238095238,77.91680000000001,,4.0139999999999985,13.992799999999999,62.531454545454544,58.36,,,1.0,0.8,79.48394998312007,,7.6
2014-04-07 22:00:00,0.0729166666666667,13.775743902439023,64.27331578947368,,,17.485333333333333,84.01977777777779,,,,-0.6,0.8,55.58005768977681,,7.6
2014-04-08 22:00:00,0.11145833333333333,5.674735714285714,46.40969841269842,,,36.35014285714285,95.470125,40.89855555555556,,,0.4,0.8,65.84825316863726,,7.0
2014-04-09 22:00:00,0.12673611111111108,8.166044444444443,46.41225,,,14.7268,49.289750000000005,40.127,,,-0.2,0.4,51.51698666572571,1.0,7.4
2014-04-10 22:00:00,0.08715277777777782,5.207392,26.116733333333336,,,9.274799999999999,50.151384615384615,,1.004,1.0,0.4,-0.6,38.17734211683273,,5.8
2014-04-11 22:00:00,0.0604645593869732,24.511728155339803,43.56872972972973,,,11.772499999999999,75.76058333333334,,,1.0,0.25,0.5,60.93509091030471,1.0,7.0
2014-04-12 22:00:00,0.14238505747126437,6.067367521367521,34.879124999999995,,,14.9702,41.919481481481476,,,1.0,0.5,1.5,30.265021749164756,1.0,8.75
2014-04-13 22:00:00,0.09131944444444445,6.140363636363635,27.027333333333335,,,12.6452,19.639,,,,-0.8,0.8,27.35334996581077,,7.6
2014-04-14 22:00:00,0.09200528007346188,6.865326923076923,43.87635135135135,,,17.4862,97.21122222222225,55.83180000000001,,,-0.6,0.6,49.331680552826974,,7.2
2014-04-15 22:00:00,0.11540324463118586,5.636881656804733,50.53478846153847,,,20.4092,81.87546153846155,94.03677272727273,,,-1.4,1.0,65.57106542810101,,7.8
2014-04-16 22:00:00,0.09931722689075634,12.742708860759494,44.20173170731708,,,13.386125,53.203307692307696,143.90983333333332,,1.0,0.2,0.8,56.72514999628065,,7.6
2014-04-17 22:00:00,0.09930555555555558,5.964507352941176,30.002764705882353,,,11.37325,47.90241176470589,86.97033333333333,,1.0,0.0,1.25,37.621913583190356,,8.5
2014-04-18 22:00:00,0.06818394024276377,6.922105263157896,94.84383870967744,,,13.079142857142857,47.836090909090906,,,,-0.2,0.8,53.58916945376639,,7.8
2014-04-19 22:00:00,0.1871527777777778,6.874604761904761,47.24956521739131,,,14.766399999999999,37.12688372093024,,,1.0,-0.4,0.6,45.44273555180258,,7.2
2014-04-20 22:00:00,0.07743055555555563,307.9140095238095,42.9747,,,11.325199999999999,69.23780000000001,,,1.0,0.0,0.2,49.5285606095285,1.0,6.8
2014-04-21 22:00:00,0.0904032446311858,6.544714285714286,44.55807692307693,,,12.642999999999999,64.42457142857144,118.8357272727273,,1.0,-1.0,0.8,60.45720689872214,1.0,7.8
2014-04-22 22:00:00,0.077978650137741,6.377975308641976,48.53011538461539,,,13.32,54.09153333333334,80.125,,1.0,0.5,0.75,62.03591837201798,,8.0
2014-04-23 22:00:00,0.08967378618113912,8.380287581699347,39.235755555555556,,,13.683714285714288,36.119857142857136,61.02833333333333,,1.0,0.16666666666666666,0.6666666666666666,40.0706526153966,,7.666666666666667
2014-04-24 22:00:00,0.10038807189542476,5.371014492753623,34.60461111111111,,,20.08571428571429,70.57088888888889,70.5935,1.003,,1.2,0.6,35.1251071350915,,7.6
2014-04-25 22:00:00,0.3479166666666667,6.056930722891567,26.98738888888889,,,38.991499999999995,56.6303,95.071,,1.0,0.6666666666666666,1.6666666666666667,30.62182703533688,,9.333333333333334
2014-04-26 22:00:00,0.1762339302112029,7.529078212290504,57.92671428571429,,,12.8798,77.96032258064515,96.052,,1.0,0.4,0.8,61.68680991811199,,8.0
2014-04-27 22:00:00,0.1302083333333333,6.390242424242424,31.635900000000003,,,31.453428571428567,69.68684210526314,95.2065,,1.0,0.2,0.8,55.282670713052525,,7.8
2014-04-28 22:00:00,0.09305555555555552,6.198436619718309,32.32087096774194,,,16.8255,118.72392857142857,,,1.0,-1.2,0.4,46.062373508890005,,7.2
2014-04-29 22:00:00,0.08578783524904211,7.114628571428572,40.98639130434783,251.452,,12.12833333333333,85.28892307692308,,,1.0,1.2,0.4,72.7710131720493,,6.6
2014-04-30 22:00:00,0.09572557471264365,7.231215384615385,81.91114705882353,162.572,,10.58975,79.12976470588237,,,1.0,0.25,0.75,58.59848454318096,,7.5
2014-05-01 22:00:00,0.12048611111111114,6.6151736111111115,45.54307843137254,,,14.59842857142857,55.83350000000001,156.852,,1.0,-0.6666666666666666,0.6666666666666666,45.73068315439887,,7.333333333333333
2014-05-02 22:00:00,0.09062499999999996,6.526037037037036,50.473113207547165,,,10.255799999999999,44.461400000000005,71.32533333333335,,1.0,1.2,0.0,47.564197670581734,,6.4
2014-05-03 22:00:00,0.10147058823529415,13.666768817204302,54.11504918032786,,,14.252799999999999,66.31573333333334,,,,-0.2,0.6,45.41202040270072,,7.4
2014-05-04 22:00:00,0.16115015408962183,6.9485705128205115,41.50029411764706,,,9.835,34.72983783783784,,,,0.0,0.6666666666666666,60.83330680836331,,7.666666666666667
2014-05-05 22:00:00,0.10039682539682536,6.536684615384615,66.6573,,,3.032,52.838,,,1.0,,,46.07158427559928,,
2014-05-06 22:00:00,0.09047049441786283,10.098678832116788,65.08526415094339,,,8.3316,42.76866666666667,,,1.0,0.25,0.75,47.85591836608186,1.0,7.75
2014-05-07 22:00:00,0.08186219876821715,5.948530973451328,63.089324999999995,,,8.893500000000001,46.70266666666667,,,1.0,0.8333333333333334,0.3333333333333333,48.9942179520925,,7.166666666666667
2014-05-08 22:00:00,0.09618055555555556,6.59185152838428,36.85746052631578,,,10.1402,55.12878260869565,,,1.0,1.2,-0.2,37.45847710908628,1.0,6.4
2014-05-09 22:00:00,0.10457375478927201,6.680855614973262,44.3043620689655,,,10.7262,41.994578947368424,28.979,,1.0,0.6,0.0,38.499333335447695,,6.6
2014-05-10 22:00:00,0.0769026325444873,5.8213444976076545,49.86894666666667,,,8.4512,48.230210526315794,,,1.0,1.4,0.4,58.56214285361299,,7.0
2014-05-11 22:00:00,0.10316091954022988,6.538145299145299,62.62551612903226,,,11.1178,53.970800000000004,,,1.0,0.0,1.0,46.778594958631295,,7.8
2014-05-12 22:00:00,0.06701388888888893,6.556630303030303,42.13607999999999,,,9.4688,34.352650000000004,,,1.0,0.8,0.4,37.86634615751412,1.0,6.8
2014-05-13 22:00:00,0.08333333333333336,6.202739130434782,62.8605,,,12.069500000000001,77.79237499999999,,,,0.6666666666666666,0.6666666666666666,56.87863414462018,,7.333333333333333
