,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,gyr_phone_x,gyr_phone_y,gyr_phone_z,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,labelonLaptop,labelonTable
2020-06-05 12:20:40.003622912,0.04607361253348949,-0.02031322890132573,9.838877149663462,,-0.00018199417116823754,0.00012626019807077907,-0.0001596068652931504,19.333333333333332,4.407959275525888,-0.7958375369903554,-42.55145087065989,1006.7486108200001,1,0
2020-06-05 12:20:40.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:40.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:40.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:41.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:41.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:41.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:41.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:42.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:42.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:42.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:42.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:43.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:43.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:43.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:43.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:44.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:44.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:44.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:44.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:45.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:45.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:45.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:45.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:46.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:46.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:46.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:46.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:47.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:47.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:47.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:47.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:48.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:48.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:48.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:48.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:49.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:49.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:49.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:49.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:50.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:20:50.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:50.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:50.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:51.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:51.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:51.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:51.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:52.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:52.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:52.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:52.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:53.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:53.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:53.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:53.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:54.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:54.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:54.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:54.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:55.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:55.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:55.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:55.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:56.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:56.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:56.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:56.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:57.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:57.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:57.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:57.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:58.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:58.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:58.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:58.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:59.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:59.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:59.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:20:59.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:00.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:00.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:00.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:00.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:01.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:01.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:01.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:01.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:02.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:02.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:02.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:02.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:03.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:03.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:03.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:03.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:04.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:04.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:04.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:04.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:05.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:05.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:05.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:05.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:06.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:06.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:06.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:06.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:07.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:07.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:07.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:07.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:08.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:08.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:08.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:08.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:09.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:09.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:09.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:09.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:10.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:10.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:10.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:10.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:11.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:11.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:11.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:11.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:12.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:12.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:12.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:12.753622912,,,,,,,,11.0,,,,,1,0
2020-06-05 12:21:13.003622912,-0.5672827765079568,1.2111028915601758,9.758388732451222,,0.00016503136577603514,0.000593380730385017,-0.0005501685253837288,,13.272230937444219,-11.702616358610546,-50.69519172533468,1006.7428764752474,1,0
2020-06-05 12:21:13.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:13.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:13.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:14.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:14.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:14.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:14.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:15.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:15.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:15.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:15.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:16.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:16.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:16.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:16.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:17.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:17.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:17.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:17.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:18.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:18.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:18.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:18.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:19.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:19.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:19.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:19.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:20.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:20.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:20.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:20.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:21.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:21.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:21.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:21.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:22.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:22.253622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:22.503622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:22.753622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:23.003622912,,,,,,,,,,,,,1,0
2020-06-05 12:21:23.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:23.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:23.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:24.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:24.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:24.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:24.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:25.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:25.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:25.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:25.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:26.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:26.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:26.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:26.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:27.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:27.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:27.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:27.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:28.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:28.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:28.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:28.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:29.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:29.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:29.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:29.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:30.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:30.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:30.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:30.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:31.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:31.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:31.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:31.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:32.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:32.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:32.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:32.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:33.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:33.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:33.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:33.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:54.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:55.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:56.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:57.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:58.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:59.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:22:00.753622912,,,,,,,,,,,,,0,0
